Team,Wins,Losses,Distribution
Eastern New Mexico,5,6,0.0010935689362780868
Valparaiso,3,8,0.0010910883589644257
West Florida,8,3,0.0010595595395184998
Clarion,2,9,0.0010564749989141005
Colorado State-Pueblo,8,3,0.001052859927444419
Colorado Mesa,6,5,0.0010166617470115937
St. Anselm,6,4,0.0010139736087223204
Butler,7,4,0.0010129634481201816
Adams State,3,8,0.0010048380657236003
Tusculum,6,5,0.000992383198039282
New Mexico Highlands,2,9,0.0009916069399114069
Catawba,5,6,0.0009883665166985096
South Dakota Mines,5,6,0.000983328605809272
Newberry,4,7,0.0009816161396403577
Limestone,8,3,0.000980704622212804
New Haven,8,2,0.0009705241264650706
Barton College,6,5,0.0009419469862400228
American International,3,8,0.0009322752598929203
Western Oregon,3,8,0.00091798380206263
Wingate,8,3,0.0009178467821478857
Assumption,5,5,0.000917504726923716
Pace,3,7,0.0009163999700808918
Mars Hill,8,2,0.0009058499959908765
Fayetteville State,8,2,0.0008978214608503053
West Texas A&M,3,7,0.0008940772393022386
UVA-Wise,2,9,0.0008782320368081024
Southern Connecticut State,4,6,0.0008773142473285948
Winston-Salem,4,6,0.0008689971376656472
Franklin Pierce,4,6,0.0008679492347403135
Delta State,9,1,0.0008645185373025764
West Georgia,6,4,0.0008635241260546776
Elizabeth City State,3,7,0.0008612364232094476
Emory & Henry,5,6,0.0008611807646480798
Carson-Newman,5,6,0.0008610484682629914
Angelo State,7,3,0.0008589230202853624
Johnson C Smith,7,3,0.0008548354079438138
West Alabama,5,5,0.0008527506260568088
University of Texas of the Permian Basin,10,1,0.000850810521846971
St. Augustine's,0,10,0.0008417016333374774
North Greenville,5,5,0.0008396624568566273
Bentley,6,4,0.0008370218545925926
Virginia State,8,2,0.0008273097867756707
Albany State (GA),6,4,0.0008243361399466069
Shorter,3,8,0.0008193912915183481
Shaw,3,7,0.0008186378915234801
Benedict College,10,0,0.0007973659260130253
Bluefield,1,9,0.0007924989108814913
Livingstone,4,6,0.0007812444711075446
Edward Waters,6,4,0.0007751604359370213
Midwestern State,4,6,0.0007733459663828298
Bowie State,6,4,0.0007716188590490116
Mississippi College,3,7,0.0007685166961758617
Chowan,0,10,0.0007551546130583548
Miles,7,3,0.0007532679526136925
Allen,7,3,0.000752308880744522
Western New Mexico,2,8,0.0007479492949409287
Lincoln University (CA),0,11,0.0007410882068232275
Lane,2,8,0.0007337883037593876
Texas A&M-Kingsville,7,3,0.0007330114954726909
Southern Oregon,1,0,0.0007234307893906154
Montana-Western,1,0,0.0007158418998420484
Erskine,0,11,0.0007103193725822184
Central Washington,7,3,0.0007091042587955394
Savannah State,2,8,0.0007074750759773813
Virginia Union,9,1,0.0007073325441460319
Roosevelt,0,1,0.0007052037554995206
Lincoln (PA),4,6,0.0006801189531088858
Tuskegee,7,4,0.0006613612118251788
Clark Atlanta,0,10,0.0006557966463685217
Post University,1,8,0.0006493846216039049
Central State,5,5,0.0006474053357980823
Kentucky State,3,7,0.0006471005762098668
Morehouse,1,9,0.0006180941842226757
Fort Valley State,7,3,0.0005976712902412275
Mayville State,1,1,0.0005706046437053904
OK Panhandle St,0,1,0.0004970532047843594
Virginia Lynchburg,1,9,0.0004901702014566241
Eastern Oregon,0,1,0.0004168978177022465
Louisiana College,1,0,0.0004092928739156523
St. Xavier (IL),0,1,0.00027057567771752663
Warner,1,0,0.00025822731792641174
Dakota State,0,1,0.00025206843326812514
St. Ambrose,0,2,0.00022058686430821668
Arizona Christian,1,0,0.0001936661384711548
Ave Maria,1,0,0.00016759824790250934
Dickinson State,1,0,0.00014457212096292193
Keiser University,0,2,0.0001367776999999623
Concordia College (MI),1,0,0.00013616531510235303
Southwestern Assemblies of God,0,1,0.00012990589643549564
St. Thomas University (Fl),0,1,0.00011023481655853063
Florida Memorial University,1,1,0.0001066556471916631
